id,matriculados,nombre,oferta
0,617,Pregrado Septiembre 2008 - Febrero 2009,25
1,417,Pregrado Marzo 2009 - Julio 2009,26
2,466,Pregrado Septiembre 2009 - Febrero 2010,28
4,369,Pregrado Marzo 2010 - Julio 2010,34
6,427,Pregrado Septiembre 2010 Febrero 2011,36
7,382,Pregrado Marzo 2011 - Julio 2011 ,42
9,415,Pregrado Septiembre 2011 Febrero 2012,45
10,306,Pregrado Marzo 2012 Julio 2012,65
11,271,Pregrado Septiembre 2012 Febrero 2013,68
12,267,Pregrado Marzo 2013 Julio 2013,74
13,192,Pregrado Septiembre 2013 Febrero 2014,77
14,248,Pregrado Marzo-Julio 2014,81